Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",OS,SC,Gender-Neutral,312,359
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,178,178
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,53751,63895
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,20150,22538
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,17655,17655
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,34330,42347
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",OS,Open (PwD),Gender-Neutral,1329,1329
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,7999,9717
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,5082,5372
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,30378,49718
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,7476,14216
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,6005,25326
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,23054,30232
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,7765,9215
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,3227,4136
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,51893,62021
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,22541,22733
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,32293,41368
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,9008,10017
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,3961,4929
"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,35888,46334
"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,13606,15604
"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,4114,10344
"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,21871,29518
"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",OS,Open (PwD),Gender-Neutral,2603,2603
"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,4399,7253
"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2425,2972
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,4732,12840
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,Open (PwD),Gender-Neutral,593,861
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2794,5683
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,476,6444
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,S.T.(PwD),Gender-Neutral,49,49
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,5445,10390
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,Open (PwD),Gender-Neutral,134,517
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,1584,2857
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,706,1958
"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,22928,29275
"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,10464,14311
"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,3468,13764
